PLAY-DESCRIPTION,ANN. PROB,5%,95%,MEAN,MEDIAN,STD DEV
malware exfiltrates sensitive files off a laptop,0.077%,2811612.78,94451705.23,38121716.07,32811829.08,29638319.62
TOTAL,0%,2811612.78,94451705.23,38121716.07,32811829.08,29638319.62
