PLAY-DESCRIPTION,ANN. PROB,5%,95%,MEAN,MEDIAN,STD DEV
malware exfiltrates sensitive files off a laptop,0.089%,2211256.78,85198652.86,34033163.78,28739797.26,25595232.10
TOTAL,0%,2211256.78,85198652.86,34033163.78,28739797.26,25595232.10
