PLAY-DESCRIPTION,ANN. PROB,5%,95%,MEAN,MEDIAN,STD DEV
malware exfiltrates sensitive files off a laptop,0.087%,2788222.41,85194973.54,30213669.47,21612459.87,26275194.09
TOTAL,0%,2788222.41,85194973.54,30213669.47,21612459.87,26275194.09
