PLAY-DESCRIPTION,ANN. PROB,5%,95%,MEAN,MEDIAN,STD DEV
malware exfiltrates sensitive files off a laptop,0.096%,4064683.34,88905055.16,33664604.64,27089078.68,27626826.32
TOTAL,0%,4064683.34,88905055.16,33664604.64,27089078.68,27626826.32
